Year,Sex,Age Group,Race or Ethnicity,Selected Cause of Death,Deaths
2003,F,1-9,Black Non Hispanic,CLRD,1
2003,F,1-9,Black Non Hispanic,Pneumonia,1
2003,F,1-9,Black Non Hispanic,AIDS,2
2003,F,1-9,Black Non Hispanic,Malignant Neoplasms,2
2003,F,1-9,Black Non Hispanic,Accidents,6
2003,F,1-9,Black Non Hispanic,Diseases of the Heart,9
2003,F,1-9,Black Non Hispanic,All Other Causes,25
2003,F,1-9,Black Non Hispanic,Total,46
2003,F,1-9,Hispanic,Cerebrovascular Disease,1
2003,F,1-9,Hispanic,Pneumonia,1
2003,F,1-9,Hispanic,Diseases of the Heart,2
2003,F,1-9,Hispanic,Malignant Neoplasms,4
2003,F,1-9,Hispanic,Accidents,12
2003,F,1-9,Hispanic,All Other Causes,19
2003,F,1-9,Hispanic,Total,39
2003,F,1-9,Not Stated,CLRD,1
2003,F,1-9,Not Stated,Diseases of the Heart,1
2003,F,1-9,Not Stated,Malignant Neoplasms,1
2003,F,1-9,Not Stated,All Other Causes,2
2003,F,1-9,Not Stated,Accidents,4
2003,F,1-9,Not Stated,Total,9
2003,F,1-9,Other Non Hispanic,Accidents,1
2003,F,1-9,Other Non Hispanic,Diseases of the Heart,1
2003,F,1-9,Other Non Hispanic,Malignant Neoplasms,1
2003,F,1-9,Other Non Hispanic,Pneumonia,1
2003,F,1-9,Other Non Hispanic,All Other Causes,7
2003,F,1-9,Other Non Hispanic,Total,11
2003,F,1-9,White Non Hispanic,CLRD,1
2003,F,1-9,White Non Hispanic,Cerebrovascular Disease,1
2003,F,1-9,White Non Hispanic,Pneumonia,2
2003,F,1-9,White Non Hispanic,Diseases of the Heart,4
2003,F,1-9,White Non Hispanic,Malignant Neoplasms,18
2003,F,1-9,White Non Hispanic,Accidents,19
2003,F,1-9,White Non Hispanic,All Other Causes,33
2003,F,1-9,White Non Hispanic,Total,78
2003,F,10-19,Black Non Hispanic,CLRD,1
2003,F,10-19,Black Non Hispanic,Pneumonia,1
2003,F,10-19,Black Non Hispanic,Cerebrovascular Disease,2
2003,F,10-19,Black Non Hispanic,Diseases of the Heart,4
2003,F,10-19,Black Non Hispanic,Malignant Neoplasms,6
2003,F,10-19,Black Non Hispanic,AIDS,7
2003,F,10-19,Black Non Hispanic,Accidents,10
2003,F,10-19,Black Non Hispanic,All Other Causes,39
2003,F,10-19,Black Non Hispanic,Total,70
2003,F,10-19,Hispanic,AIDS,1
2003,F,10-19,Hispanic,Cerebrovascular Disease,1
2003,F,10-19,Hispanic,Diseases of the Heart,1
2003,F,10-19,Hispanic,CLRD,2
2003,F,10-19,Hispanic,Malignant Neoplasms,3
2003,F,10-19,Hispanic,Accidents,8
2003,F,10-19,Hispanic,All Other Causes,18
2003,F,10-19,Hispanic,Total,34
2003,F,10-19,Not Stated,Diseases of the Heart,1
2003,F,10-19,Not Stated,Pneumonia,1
2003,F,10-19,Not Stated,All Other Causes,2
2003,F,10-19,Not Stated,Total,4
2003,F,10-19,Other Non Hispanic,Pneumonia,1
2003,F,10-19,Other Non Hispanic,Accidents,4
2003,F,10-19,Other Non Hispanic,All Other Causes,4
2003,F,10-19,Other Non Hispanic,Total,9
2003,F,10-19,White Non Hispanic,CLRD,1
2003,F,10-19,White Non Hispanic,Pneumonia,1
2003,F,10-19,White Non Hispanic,Cerebrovascular Disease,2
2003,F,10-19,White Non Hispanic,Diseases of the Heart,3
2003,F,10-19,White Non Hispanic,Malignant Neoplasms,12
2003,F,10-19,White Non Hispanic,Accidents,40
2003,F,10-19,White Non Hispanic,All Other Causes,40
2003,F,10-19,White Non Hispanic,Total,99
2003,F,20-24,Black Non Hispanic,CLRD,1
2003,F,20-24,Black Non Hispanic,Malignant Neoplasms,2
2003,F,20-24,Black Non Hispanic,Cerebrovascular Disease,3
2003,F,20-24,Black Non Hispanic,Diseases of the Heart,4
2003,F,20-24,Black Non Hispanic,AIDS,5
2003,F,20-24,Black Non Hispanic,Accidents,8
2003,F,20-24,Black Non Hispanic,All Other Causes,41
2003,F,20-24,Black Non Hispanic,Total,64
2003,F,20-24,Hispanic,AIDS,1
2003,F,20-24,Hispanic,Pneumonia,1
2003,F,20-24,Hispanic,Diseases of the Heart,2
2003,F,20-24,Hispanic,Malignant Neoplasms,2
2003,F,20-24,Hispanic,Accidents,8
2003,F,20-24,Hispanic,All Other Causes,26
2003,F,20-24,Hispanic,Total,40
2003,F,20-24,Not Stated,Diseases of the Heart,1
2003,F,20-24,Not Stated,Accidents,2
2003,F,20-24,Not Stated,All Other Causes,4
2003,F,20-24,Not Stated,Total,7
2003,F,20-24,Other Non Hispanic,Accidents,2
2003,F,20-24,Other Non Hispanic,Malignant Neoplasms,2
2003,F,20-24,Other Non Hispanic,All Other Causes,3
2003,F,20-24,Other Non Hispanic,Total,7
2003,F,20-24,White Non Hispanic,Cerebrovascular Disease,2
2003,F,20-24,White Non Hispanic,Pneumonia,4
2003,F,20-24,White Non Hispanic,Diseases of the Heart,5
2003,F,20-24,White Non Hispanic,Malignant Neoplasms,10
2003,F,20-24,White Non Hispanic,Accidents,39
2003,F,20-24,White Non Hispanic,All Other Causes,54
2003,F,20-24,White Non Hispanic,Total,114
2003,F,25-34,Black Non Hispanic,CLRD,3
2003,F,25-34,Black Non Hispanic,Diabetes Mellitus,3
2003,F,25-34,Black Non Hispanic,Pneumonia,7
2003,F,25-34,Black Non Hispanic,Accidents,8
2003,F,25-34,Black Non Hispanic,Diseases of the Heart,16
2003,F,25-34,Black Non Hispanic,AIDS,32
2003,F,25-34,Black Non Hispanic,Malignant Neoplasms,34
2003,F,25-34,Black Non Hispanic,All Other Causes,102
2003,F,25-34,Black Non Hispanic,Total,205
2003,F,25-34,Hispanic,Diabetes Mellitus,1
2003,F,25-34,Hispanic,Cerebrovascular Disease,2
2003,F,25-34,Hispanic,Pneumonia,2
2003,F,25-34,Hispanic,CLRD,3
2003,F,25-34,Hispanic,Diseases of the Heart,3
2003,F,25-34,Hispanic,AIDS,14
2003,F,25-34,Hispanic,Accidents,15
2003,F,25-34,Hispanic,Malignant Neoplasms,31
2003,F,25-34,Hispanic,All Other Causes,52
2003,F,25-34,Hispanic,Total,123
